,season_type,id,year,week,neutral_site,home_team,home_conference,home_points,home_elo,away_team,away_conference,away_points,away_elo,spread,margin,home_win,home_rank,away_rank
0,regular,400869090,2016,1,True,California,Pac-12,51,1571.0,Hawai'i,Mountain West,31,1133.0,-23.0,-20,1,0,0
3,regular,400869341,2016,1,False,Louisville,ACC,70,1614.0,Charlotte,Conference USA,14,1134.0,-39.5,-56,1,19,0
5,regular,400869421,2016,1,False,Wake Forest,ACC,7,1373.0,Tulane,American Athletic,3,1205.0,-16.0,-4,1,0,0
7,regular,400868977,2016,1,False,Tennessee,SEC,20,1740.0,App State,Sun Belt,13,1590.0,-23.0,-7,1,9,0
8,regular,400869342,2016,1,False,Florida International,Conference USA,13,1269.0,Indiana,Big Ten,34,1493.0,3.0,21,0,0,0
9,regular,400868968,2016,1,False,Vanderbilt,SEC,10,1391.0,South Carolina,SEC,13,1553.0,4.0,3,0,0,0
10,regular,400869347,2016,1,False,Western Kentucky,Conference USA,46,1747.0,Rice,Conference USA,14,1254.0,-14.5,-32,1,0,0
13,regular,400869092,2016,1,False,Minnesota,Big Ten,30,1561.0,Oregon State,Pac-12,23,1264.0,-7.5,-7,1,0,0
18,regular,400869258,2016,1,False,Georgia State,Sun Belt,21,1396.0,Ball State,Mid-American,31,1248.0,5.5,10,0,0,0
22,regular,400868910,2016,1,False,Temple,American Athletic,13,1590.0,Army,FBS Independents,28,1315.0,-21.5,15,0,0,0
24,regular,400869093,2016,1,True,Colorado,Pac-12,44,1411.0,Colorado State,Mountain West,7,1457.0,-10.0,-37,1,0,0
25,regular,400869265,2016,1,False,Arkansas State,Sun Belt,10,1510.0,Toledo,Mid-American,31,1653.0,-2.5,21,0,0,0
26,regular,400869094,2016,1,False,Stanford,Pac-12,26,1843.0,Kansas State,Big 12,13,1521.0,-16.5,-13,1,8,0
28,regular,400869424,2016,1,True,Boston College,ACC,14,1479.0,Georgia Tech,ACC,17,1588.0,3.0,3,0,0,0
30,regular,400869507,2016,1,True,Houston,American Athletic,33,1780.0,Oklahoma,Big 12,23,1885.0,10.0,-10,1,15,3
32,regular,400869180,2016,1,False,Michigan,Big Ten,63,1753.0,Hawai'i,Mountain West,3,1122.0,-40.5,-60,1,7,0
34,regular,400868976,2016,1,False,West Virginia,Big 12,26,1676.0,Missouri,SEC,11,1538.0,-11.5,-15,1,0,0
35,regular,400869267,2016,1,False,Northwestern,Big Ten,21,1464.0,Western Michigan,Mid-American,22,1594.0,-6.5,1,0,0,0
36,regular,400868975,2016,1,False,Mississippi State,SEC,20,1727.0,South Alabama,Sun Belt,21,1243.0,-34.0,1,0,0,0
37,regular,400869260,2016,1,False,Ohio State,Big Ten,77,1913.0,Bowling Green,Mid-American,10,1607.0,-27.0,-67,1,6,0
38,regular,400869176,2016,1,False,Louisiana,Sun Belt,10,1299.0,Boise State,Mountain West,45,1727.0,18.0,35,0,0,0
39,regular,400869428,2016,1,False,Virginia Tech,ACC,36,1595.0,Liberty,Big South,13,1441.0,-35.0,-23,1,0,0
41,regular,400869097,2016,1,False,Washington,Pac-12,48,1749.0,Rutgers,Big Ten,13,1372.0,-22.5,-35,1,14,0
46,regular,400869261,2016,1,False,Penn State,Big Ten,33,1557.0,Kent State,Mid-American,13,1175.0,-19.0,-20,1,0,0
47,regular,400868978,2016,1,False,Texas A&M,SEC,31,1616.0,UCLA,Pac-12,24,1648.0,-1.0,-7,1,0,16
48,regular,400869264,2016,1,False,Ohio,Mid-American,54,1390.0,Texas State,Sun Belt,56,1178.0,-19.0,2,0,0,0
49,regular,400869262,2016,1,False,Iowa,Big Ten,45,1641.0,Miami (OH),Mid-American,21,1195.0,-32.0,-24,1,17,0
50,regular,400868974,2016,1,True,Wisconsin,Big Ten,16,1700.0,LSU,SEC,14,1711.0,9.5,-2,1,0,5
51,regular,400868970,2016,1,False,Arkansas,SEC,21,1741.0,Louisiana Tech,Conference USA,20,1609.0,-20.5,-1,1,0,0
53,regular,400868972,2016,1,True,North Carolina,ACC,24,1720.0,Georgia,SEC,33,1698.0,3.5,9,0,22,18
64,regular,400869183,2016,1,False,Tulsa,American Athletic,45,1388.0,San José State,Mountain West,10,1383.0,-6.0,-35,1,0,0
65,regular,400869345,2016,1,False,North Texas,Conference USA,21,1175.0,SMU,American Athletic,34,1191.0,12.0,13,0,0,0
70,regular,400868973,2016,1,False,Kentucky,SEC,35,1473.0,Southern Miss,Conference USA,44,1624.0,-7.5,9,0,0,0
71,regular,400868957,2016,1,False,Florida,SEC,24,1633.0,Massachusetts,FBS Independents,7,1261.0,-37.0,-17,1,25,0
75,regular,400869348,2016,1,False,UTEP,Conference USA,38,1214.0,New Mexico State,Sun Belt,22,1124.0,-3.5,-16,1,0,0
76,regular,400869179,2016,1,False,Nebraska,Big Ten,43,1635.0,Fresno State,Mountain West,10,1225.0,-29.5,-33,1,0,0
78,regular,400868969,2016,1,True,Alabama,SEC,52,1965.0,USC,Pac-12,6,1696.0,-9.0,-46,1,1,20
80,regular,400868971,2016,1,False,Auburn,SEC,13,1656.0,Clemson,ACC,19,1865.0,7.5,6,0,0,2
81,regular,400869178,2016,1,False,Wyoming,Mountain West,40,1247.0,Northern Illinois,Mid-American,34,1455.0,10.5,-6,1,0,0
82,regular,400868922,2016,1,True,Arizona,Pac-12,16,1496.0,BYU,FBS Independents,18,1620.0,-2.5,2,0,0,0
85,regular,400868946,2016,1,False,Texas,Big 12,50,1521.0,Notre Dame,FBS Independents,47,1689.0,2.5,-3,1,0,10
86,regular,400868979,2016,1,True,Florida State,ACC,45,1773.0,Ole Miss,SEC,34,1791.0,-5.0,-11,1,4,11
87,regular,400869351,2016,2,False,Florida International,Conference USA,14,1240.0,Maryland,Big Ten,41,1399.0,7.0,27,0,0,0
88,regular,400869429,2016,2,False,Syracuse,ACC,28,1414.0,Louisville,ACC,62,1719.0,13.0,34,0,0,13
89,regular,400869510,2016,2,False,Michigan,Big Ten,51,1851.0,UCF,American Athletic,14,1189.0,-34.5,-37,1,5,0
92,regular,400869270,2016,2,False,Oklahoma State,Big 12,27,1638.0,Central Michigan,Mid-American,30,1482.0,-19.0,3,0,22,0
94,regular,400869436,2016,2,False,Pittsburgh,ACC,42,1551.0,Penn State,Big Ten,39,1567.0,-4.5,-3,1,0,0
95,regular,400869435,2016,2,False,East Carolina,American Athletic,33,1526.0,NC State,ACC,30,1573.0,3.5,-3,1,0,0
96,regular,400869187,2016,2,False,Nebraska,Big Ten,52,1677.0,Wyoming,Mountain West,17,1265.0,-24.0,-35,1,0,0
97,regular,400868958,2016,2,False,Massachusetts,FBS Independents,7,1257.0,Boston College,ACC,26,1483.0,16.5,19,0,0,0
98,regular,400868911,2016,2,False,Army,FBS Independents,31,1380.0,Rice,Conference USA,14,1224.0,-7.0,-17,1,0,0
100,regular,400869511,2016,2,False,Purdue,Big Ten,20,1312.0,Cincinnati,American Athletic,38,1479.0,7.0,18,0,0,0
103,regular,400869430,2016,2,False,Clemson,ACC,30,1861.0,Troy,Sun Belt,24,1374.0,-34.0,-6,1,2,0
106,regular,400869101,2016,2,False,USC,Pac-12,45,1587.0,Utah State,Mountain West,7,1531.0,-14.0,-38,1,0,0
107,regular,400869277,2016,2,False,Kansas,Big 12,21,1116.0,Ohio,Mid-American,37,1375.0,9.0,16,0,0,0
108,regular,400868980,2016,2,False,Alabama,SEC,38,2074.0,Western Kentucky,Conference USA,10,1777.0,-24.0,-28,1,1,0
109,regular,400868877,2016,2,False,Baylor,Big 12,40,1827.0,SMU,American Athletic,13,1219.0,-28.5,-27,1,23,0
110,regular,400869268,2016,2,False,Wisconsin,Big Ten,54,1704.0,Akron,Mid-American,10,1383.0,-24.0,-44,1,10,0
111,regular,400868947,2016,2,False,Notre Dame,FBS Independents,39,1686.0,Nevada,Mountain West,10,1427.0,-26.0,-29,1,18,0
112,regular,400869516,2016,2,False,Ohio State,Big Ten,48,2083.0,Tulsa,American Athletic,3,1486.0,-28.5,-45,1,4,0
113,regular,400868983,2016,2,False,Florida,SEC,45,1637.0,Kentucky,SEC,7,1467.0,-16.5,-38,1,0,0
114,regular,400869512,2016,2,False,Navy,American Athletic,28,1659.0,UConn,American Athletic,24,1403.0,-7.5,-4,1,0,0
115,regular,400869431,2016,2,False,Duke,ACC,14,1521.0,Wake Forest,ACC,24,1371.0,-8.5,10,0,0,0
119,regular,400868991,2016,2,False,Vanderbilt,SEC,47,1396.0,Middle Tennessee,Conference USA,24,1514.0,-5.0,-23,1,0,0
120,regular,400869185,2016,2,False,Colorado State,Mountain West,23,1335.0,UTSA,Conference USA,14,1242.0,-10.0,-9,1,0,0
121,regular,400869269,2016,2,False,Indiana,Big Ten,30,1522.0,Ball State,Mid-American,20,1282.0,-17.5,-10,1,0,0
123,regular,400869105,2016,2,False,Washington,Pac-12,59,1800.0,Idaho,Sun Belt,14,1219.0,-35.0,-45,1,8,0
125,regular,400869719,2016,2,False,Miami,ACC,38,1499.0,Florida Atlantic,Conference USA,10,1359.0,-23.0,-28,1,25,0
129,regular,400869612,2016,2,False,Oklahoma,Big 12,59,1852.0,UL Monroe,Sun Belt,17,1137.0,-44.0,-42,1,14,0
130,regular,400868987,2016,2,False,Mississippi State,SEC,27,1699.0,South Carolina,SEC,14,1548.0,-9.5,-13,1,0,0
132,regular,400869811,2016,2,False,South Alabama,Sun Belt,9,1271.0,Georgia Southern,Sun Belt,24,1590.0,11.5,15,0,0,0
136,regular,400868981,2016,2,False,TCU,Big 12,38,1798.0,Arkansas,SEC,41,1738.0,-6.0,3,0,15,0
137,regular,400869273,2016,2,False,South Florida,American Athletic,48,1629.0,Northern Illinois,Mid-American,17,1437.0,-11.5,-31,1,0,0
139,regular,400869357,2016,2,False,Texas,Big 12,41,1524.0,UTEP,Conference USA,7,1240.0,-26.0,-34,1,11,0
141,regular,400868888,2016,2,False,Iowa,Big Ten,42,1655.0,Iowa State,Big 12,3,1429.0,-18.0,-39,1,16,0
142,regular,400869434,2016,2,False,Illinois,Big Ten,23,1458.0,North Carolina,ACC,48,1706.0,7.0,25,0,0,0
143,regular,400868982,2016,2,False,Auburn,SEC,51,1660.0,Arkansas State,Sun Belt,14,1472.0,-13.0,-37,1,0,0
144,regular,400868988,2016,2,False,Missouri,SEC,61,1519.0,Eastern Michigan,Mid-American,21,1130.0,-24.5,-40,1,0,0
145,regular,400868923,2016,2,False,Utah,Pac-12,20,1676.0,BYU,FBS Independents,19,1615.0,-4.5,-1,1,0,0
146,regular,400869186,2016,2,False,New Mexico State,Sun Belt,32,1098.0,New Mexico,Mountain West,31,1395.0,11.5,-1,1,0,0
147,regular,400869102,2016,2,False,UCLA,Pac-12,42,1637.0,UNLV,Mountain West,21,1272.0,-25.5,-21,1,0,0
149,regular,400868989,2016,2,True,Tennessee,SEC,45,1741.0,Virginia Tech,ACC,24,1635.0,-9.0,-21,1,17,0
150,regular,400869100,2016,2,False,Arizona State,Pac-12,68,1613.0,Texas Tech,Big 12,55,1515.0,-5.0,-13,1,0,0
151,regular,400869106,2016,2,False,Boise State,Mountain West,31,1774.0,Washington State,Pac-12,28,1549.0,-12.0,-3,1,0,0
152,regular,400869107,2016,2,False,San Diego State,Mountain West,45,1704.0,California,Pac-12,40,1582.0,-7.0,-5,1,0,0
153,regular,400869104,2016,2,False,Oregon,Pac-12,44,1695.0,Virginia,ACC,26,1461.0,-20.5,-18,1,24,0
155,regular,400869517,2016,3,False,Cincinnati,American Athletic,16,1506.0,Houston,American Athletic,40,1813.0,7.5,24,0,0,6
156,regular,400869361,2016,3,False,Rice,Conference USA,10,1201.0,Baylor,Big 12,38,1833.0,27.5,28,0,0,21
157,regular,400869193,2016,3,False,Utah State,Mountain West,34,1430.0,Arkansas State,Sun Belt,20,1392.0,-8.0,-14,1,0,0
158,regular,400869109,2016,3,False,UTSA,Conference USA,28,1234.0,Arizona State,Pac-12,32,1630.0,18.5,4,0,0,0
159,regular,400869192,2016,3,False,Rutgers,Big Ten,37,1321.0,New Mexico,Mountain West,28,1386.0,-3.5,-9,1,0,0
161,regular,400869000,2016,3,False,Tennessee,SEC,28,1787.0,Ohio,Mid-American,19,1388.0,-27.5,-9,1,15,0
162,regular,400869519,2016,3,False,Penn State,Big Ten,34,1566.0,Temple,American Athletic,27,1525.0,-7.0,-7,1,0,0
163,regular,400869520,2016,3,False,Memphis,American Athletic,43,1621.0,Kansas,Big 12,7,1103.0,-20.0,-36,1,0,0
164,regular,400869440,2016,3,False,Louisville,ACC,63,1778.0,Florida State,ACC,20,1801.0,4.5,-43,1,10,2
165,regular,400869720,2016,3,False,App State,Sun Belt,10,1612.0,Miami,ACC,45,1556.0,4.0,35,0,0,25
166,regular,400868889,2016,3,False,TCU,Big 12,41,1790.0,Iowa State,Big 12,20,1347.0,-23.5,-21,1,0,0
167,regular,400869281,2016,3,False,Bowling Green,Mid-American,21,1437.0,Middle Tennessee,Conference USA,41,1444.0,3.5,20,0,0,0
168,regular,400869657,2016,3,False,Wisconsin,Big Ten,23,1791.0,Georgia State,Sun Belt,17,1288.0,-30.0,-6,1,9,0
169,regular,400869278,2016,3,False,Marshall,Conference USA,38,1649.0,Akron,Mid-American,65,1296.0,-15.5,27,0,0,0
171,regular,400869001,2016,3,False,Georgia Tech,ACC,38,1584.0,Vanderbilt,SEC,7,1466.0,-7.5,-31,1,0,0
172,regular,400869444,2016,3,False,UConn,American Athletic,13,1407.0,Virginia,ACC,10,1443.0,-6.5,-3,1,0,0
173,regular,400869116,2016,3,False,Washington State,Pac-12,56,1551.0,Idaho,Sun Belt,6,1162.0,-27.5,-50,1,0,0
175,regular,400869358,2016,3,False,Kansas State,Big 12,63,1521.0,Florida Atlantic,Conference USA,7,1302.0,-19.0,-56,1,0,0
177,regular,400869195,2016,3,False,Toledo,Mid-American,52,1691.0,Fresno State,Mountain West,17,1183.0,-20.0,-35,1,0,0
178,regular,400869198,2016,3,False,Central Michigan,Mid-American,44,1496.0,UNLV,Mountain West,21,1258.0,-14.0,-23,1,0,0
180,regular,400869283,2016,3,False,Miami (OH),Mid-American,24,1181.0,Western Kentucky,Conference USA,31,1738.0,15.0,7,0,0,0
181,regular,400869442,2016,3,False,Oklahoma State,Big 12,45,1624.0,Pittsburgh,ACC,38,1552.0,-6.0,-7,1,0,0
182,regular,400869441,2016,3,False,North Carolina,ACC,56,1744.0,James Madison,CAA,28,1415.0,-24.5,-28,1,0,0
183,regular,400869437,2016,3,False,Virginia Tech,ACC,49,1589.0,Boston College,ACC,0,1506.0,-7.0,-49,1,0,0
184,regular,400869443,2016,3,False,Syracuse,ACC,20,1355.0,South Florida,American Athletic,45,1689.0,13.5,25,0,0,0
185,regular,400869113,2016,3,False,Nebraska,Big Ten,35,1724.0,Oregon,Pac-12,32,1713.0,-3.0,-3,1,0,22
186,regular,400868997,2016,3,False,Ole Miss,SEC,43,1763.0,Alabama,SEC,48,2113.0,9.5,5,0,19,1
187,regular,400869111,2016,3,False,Michigan,Big Ten,45,1877.0,Colorado,Pac-12,28,1533.0,-20.0,-17,1,4,0
188,regular,400869197,2016,3,False,Northern Illinois,Mid-American,28,1377.0,San Diego State,Mountain West,42,1704.0,8.0,14,0,0,0
189,regular,400868995,2016,3,False,Kentucky,SEC,62,1381.0,New Mexico State,Sun Belt,42,1107.0,-21.5,-20,1,0,0
190,regular,400868999,2016,3,False,South Carolina,SEC,20,1535.0,East Carolina,American Athletic,15,1528.0,-6.0,-5,1,0,0
192,regular,400869284,2016,3,False,Illinois,Big Ten,10,1420.0,Western Michigan,Mid-American,34,1589.0,1.5,24,0,0,0
195,regular,400869360,2016,3,False,NC State,ACC,49,1571.0,Old Dominion,Conference USA,22,1214.0,-20.5,-27,1,0,0
196,regular,400869280,2016,3,False,Charlotte,Conference USA,19,1029.0,Eastern Michigan,Mid-American,37,1065.0,1.5,18,0,0,0
197,regular,400869813,2016,3,False,Georgia Southern,Sun Belt,23,1595.0,UL Monroe,Sun Belt,21,1103.0,-27.0,-2,1,0,0
199,regular,400869814,2016,3,False,Louisiana,Sun Belt,28,1252.0,South Alabama,Sun Belt,23,1266.0,-3.5,-5,1,0,0
200,regular,400869521,2016,3,False,Tulane,American Athletic,14,1207.0,Navy,American Athletic,21,1655.0,10.5,7,0,0,0
201,regular,400869518,2016,3,False,UCF,American Athletic,24,1163.0,Maryland,Big Ten,30,1453.0,9.0,6,0,0,0
202,regular,400869362,2016,3,False,Southern Miss,Conference USA,31,1630.0,Troy,Sun Belt,37,1388.0,-11.5,6,0,0,0
203,regular,400869522,2016,3,False,SMU,American Athletic,29,1213.0,Liberty,Big South,14,1401.0,-13.5,-15,1,0,0
204,regular,400869359,2016,3,False,Texas Tech,Big 12,59,1498.0,Louisiana Tech,Conference USA,45,1612.0,-12.0,-14,1,0,0
205,regular,400868993,2016,3,False,Auburn,SEC,16,1740.0,Texas A&M,SEC,29,1627.0,-4.0,13,0,0,17
206,regular,400868992,2016,3,False,Arkansas,SEC,42,1746.0,Texas State,Sun Belt,3,1193.0,-32.5,-39,1,24,0
207,regular,400868994,2016,3,False,Florida,SEC,32,1723.0,North Texas,Conference USA,0,1147.0,-35.0,-32,1,23,0
208,regular,400869613,2016,3,False,Oklahoma,Big 12,24,1886.0,Ohio State,Big Ten,45,2138.0,2.5,21,0,14,3
209,regular,400868998,2016,3,False,Missouri,SEC,27,1584.0,Georgia,SEC,28,1712.0,6.0,1,0,0,16
210,regular,400868948,2016,3,False,Notre Dame,FBS Independents,28,1732.0,Michigan State,Big Ten,36,1732.0,-7.0,8,0,18,12
211,regular,400869439,2016,3,False,Northwestern,Big Ten,24,1469.0,Duke,ACC,13,1486.0,-4.0,-11,1,0,0
212,regular,400869110,2016,3,False,Stanford,Pac-12,27,1843.0,USC,Pac-12,10,1688.0,-6.5,-17,1,7,0
214,regular,400869196,2016,3,False,Nevada,Mountain West,38,1381.0,Buffalo,Mid-American,14,1335.0,-9.0,-24,1,0,0
215,regular,400868924,2016,3,False,BYU,FBS Independents,14,1616.0,UCLA,Pac-12,17,1651.0,4.0,3,0,0,0
216,regular,400869112,2016,3,False,San José State,Mountain West,17,1285.0,Utah,Pac-12,34,1675.0,13.0,17,0,0,0
217,regular,400869117,2016,3,False,California,Pac-12,50,1582.0,Texas,Big 12,43,1583.0,6.0,-7,1,0,11
218,regular,400869446,2016,4,False,Georgia Tech,ACC,7,1653.0,Clemson,ACC,26,1847.0,11.0,19,0,0,5
219,regular,400869201,2016,4,False,Eastern Michigan,Mid-American,27,1105.0,Wyoming,Mountain West,24,1218.0,2.5,-3,1,0,0
220,regular,400869524,2016,4,False,SMU,American Athletic,3,1262.0,TCU,Big 12,33,1797.0,24.0,30,0,0,0
221,regular,400869118,2016,4,False,Utah,Pac-12,31,1678.0,USC,Pac-12,27,1665.0,-2.0,-4,1,24,0
222,regular,400869203,2016,4,False,Purdue,Big Ten,24,1285.0,Nevada,Mountain West,14,1436.0,-5.0,-10,1,0,0
223,regular,400869634,2016,4,False,Rutgers,Big Ten,7,1340.0,Iowa,Big Ten,14,1737.0,13.5,7,0,0,0
224,regular,400869005,2016,4,False,Ole Miss,SEC,45,1777.0,Georgia,SEC,14,1707.0,-6.0,-31,1,23,12
225,regular,400869200,2016,4,False,Minnesota,Big Ten,31,1555.0,Colorado State,Mountain West,24,1343.0,-15.5,-7,1,0,0
226,regular,400869002,2016,4,False,Alabama,SEC,48,2099.0,Kent State,Mid-American,0,1165.0,-41.5,-48,1,1,0
227,regular,400869659,2016,4,False,Michigan State,Big Ten,6,1748.0,Wisconsin,Big Ten,30,1776.0,-6.0,24,0,8,11
228,regular,400869448,2016,4,False,South Florida,American Athletic,35,1718.0,Florida State,ACC,55,1669.0,5.5,20,0,0,13
229,regular,400869204,2016,4,False,Iowa State,Big 12,44,1340.0,San José State,Mountain West,10,1282.0,-6.0,-34,1,0,0
230,regular,400869363,2016,4,False,Temple,American Athletic,48,1518.0,Charlotte,Conference USA,20,989.0,-29.5,-28,1,0,0
231,regular,400869451,2016,4,False,Virginia Tech,ACC,54,1727.0,East Carolina,American Athletic,17,1523.0,-9.5,-37,1,0,0
232,regular,400869288,2016,4,False,Virginia,ACC,49,1442.0,Central Michigan,Mid-American,35,1527.0,2.0,-14,1,0,0
234,regular,400869450,2016,4,False,UConn,American Athletic,24,1408.0,Syracuse,ACC,31,1326.0,-6.0,7,0,0,0
237,regular,400869291,2016,4,False,Cincinnati,American Athletic,27,1477.0,Miami (OH),Mid-American,20,1206.0,-19.5,-7,1,0,0
238,regular,400868925,2016,4,True,West Virginia,Big 12,35,1695.0,BYU,FBS Independents,32,1614.0,-3.5,-3,1,0,0
239,regular,400869285,2016,4,False,Akron,Mid-American,38,1419.0,App State,Sun Belt,45,1502.0,7.0,7,0,0,0
240,regular,400869123,2016,4,False,Oregon State,Pac-12,24,1270.0,Boise State,Mountain West,38,1772.0,14.0,14,0,0,0
241,regular,400868949,2016,4,False,Notre Dame,FBS Independents,35,1716.0,Duke,ACC,38,1465.0,-20.0,3,0,0,0
242,regular,400868960,2016,4,False,Massachusetts,FBS Independents,35,1243.0,Mississippi State,SEC,47,1711.0,25.0,12,0,0,0
243,regular,400869658,2016,4,False,Michigan,Big Ten,49,1884.0,Penn State,Big Ten,10,1573.0,-15.5,-39,1,4,0
244,regular,400869007,2016,4,False,Tennessee,SEC,38,1777.0,Florida,SEC,28,1744.0,-8.0,-10,1,14,19
245,regular,400869452,2016,4,False,Indiana,Big Ten,28,1523.0,Wake Forest,ACC,33,1406.0,-5.5,5,0,0,0
246,regular,400869368,2016,4,False,Old Dominion,Conference USA,33,1184.0,UTSA,Conference USA,19,1251.0,-1.5,-14,1,0,0
247,regular,400869449,2016,4,False,North Carolina,ACC,37,1780.0,Pittsburgh,ACC,36,1546.0,-7.0,-1,1,0,0
249,regular,400869009,2016,4,False,Western Kentucky,Conference USA,30,1713.0,Vanderbilt,SEC,31,1397.0,-7.5,1,0,0,0
250,regular,400869202,2016,4,False,Fresno State,Mountain West,41,1146.0,Tulsa,American Athletic,48,1431.0,11.5,7,0,0,0
251,regular,400869122,2016,4,False,Oregon,Pac-12,38,1712.0,Colorado,Pac-12,41,1526.0,-11.0,3,0,0,0
252,regular,400869367,2016,4,False,Rice,Conference USA,35,1195.0,North Texas,Conference USA,42,1126.0,-7.5,7,0,0,0
253,regular,400869286,2016,4,False,Florida Atlantic,Conference USA,27,1159.0,Ball State,Mid-American,31,1281.0,3.0,4,0,0,0
254,regular,400869003,2016,4,False,Auburn,SEC,18,1700.0,LSU,SEC,13,1708.0,4.0,-5,1,0,18
256,regular,400869525,2016,4,False,Texas State,Sun Belt,3,1150.0,Houston,American Athletic,64,1842.0,33.0,61,0,0,6
257,regular,400869816,2016,4,False,Troy,Sun Belt,52,1418.0,New Mexico State,Sun Belt,6,1087.0,-17.5,-46,1,0,0
259,regular,400868913,2016,4,False,Buffalo,Mid-American,23,1280.0,Army,FBS Independents,20,1534.0,16.0,-3,1,0,0
260,regular,400869290,2016,4,False,Western Michigan,Mid-American,49,1633.0,Georgia Southern,Sun Belt,31,1588.0,-4.0,-18,1,0,0
261,regular,400869364,2016,4,False,Florida International,Conference USA,14,1177.0,UCF,American Athletic,53,1172.0,5.5,39,0,0,0
262,regular,400869365,2016,4,False,Middle Tennessee,Conference USA,38,1494.0,Louisiana Tech,Conference USA,34,1573.0,-4.0,-4,1,0,0
264,regular,400869004,2016,4,False,Kentucky,SEC,17,1401.0,South Carolina,SEC,10,1540.0,-1.5,-7,1,0,0
265,regular,400869660,2016,4,False,Northwestern,Big Ten,13,1490.0,Nebraska,Big Ten,24,1725.0,6.5,11,0,0,20
266,regular,400868878,2016,4,False,Baylor,Big 12,35,1839.0,Oklahoma State,Big 12,24,1630.0,-10.0,-11,1,16,0
267,regular,400869366,2016,4,False,Marshall,Conference USA,28,1526.0,Louisville,ACC,59,1910.0,23.0,31,0,0,3
268,regular,400869121,2016,4,False,UCLA,Pac-12,13,1653.0,Stanford,Pac-12,22,1866.0,2.5,9,0,0,7
269,regular,400869287,2016,4,False,Memphis,American Athletic,77,1659.0,Bowling Green,Mid-American,3,1387.0,-16.5,-74,1,0,0
270,regular,400869369,2016,4,False,UTEP,Conference USA,7,1050.0,Southern Miss,Conference USA,34,1600.0,10.0,27,0,0,0
271,regular,400869526,2016,4,False,Tulane,American Athletic,41,1225.0,Louisiana,Sun Belt,39,1258.0,-3.0,-2,1,0,0
272,regular,400869205,2016,4,False,UNLV,Mountain West,30,1227.0,Idaho,Sun Belt,33,1065.0,-13.0,3,0,0,0
273,regular,400869008,2016,4,True,Texas A&M,SEC,45,1667.0,Arkansas,SEC,24,1789.0,-3.0,-21,1,10,17
274,regular,400869120,2016,4,False,Arizona State,Pac-12,51,1613.0,California,Pac-12,41,1592.0,-6.5,-10,1,0,0
275,regular,400869199,2016,4,False,Utah State,Mountain West,20,1455.0,Air Force,Mountain West,27,1596.0,3.0,7,0,0,0
276,regular,400869119,2016,4,False,Arizona,Pac-12,28,1501.0,Washington,Pac-12,35,1857.0,10.0,7,0,0,9
277,regular,400869527,2016,5,False,Houston,American Athletic,42,1937.0,UConn,American Athletic,14,1388.0,-24.5,-28,1,6,0
278,regular,400869598,2016,5,False,Texas Tech,Big 12,55,1537.0,Kansas,Big 12,19,1065.0,-27.0,-36,1,0,0
279,regular,400869124,2016,5,False,Washington,Pac-12,44,1844.0,Stanford,Pac-12,6,1867.0,-3.5,-38,1,10,7
280,regular,400868926,2016,5,False,BYU,FBS Independents,55,1612.0,Toledo,Mid-American,53,1728.0,-4.5,-2,1,0,0
281,regular,400869635,2016,5,False,Ohio State,Big Ten,58,2164.0,Rutgers,Big Ten,0,1355.0,-37.0,-58,1,2,0
283,regular,400869662,2016,5,False,Iowa,Big Ten,31,1722.0,Northwestern,Big Ten,38,1487.0,-12.0,7,0,0,0
284,regular,400868879,2016,5,False,Iowa State,Big 12,42,1427.0,Baylor,Big 12,45,1844.0,17.0,3,0,0,13
285,regular,400869721,2016,5,False,Georgia Tech,ACC,21,1626.0,Miami,ACC,35,1666.0,5.0,14,0,0,14
286,regular,400869620,2016,5,False,Oklahoma State,Big 12,49,1625.0,Texas,Big 12,31,1573.0,-3.0,-18,1,0,22
287,regular,400869017,2016,5,False,Vanderbilt,SEC,6,1415.0,Florida,SEC,13,1729.0,8.5,7,0,0,23
288,regular,400868950,2016,5,True,Syracuse,ACC,33,1346.0,Notre Dame,FBS Independents,50,1695.0,12.0,17,0,0,0
289,regular,400869528,2016,5,False,East Carolina,American Athletic,29,1445.0,UCF,American Athletic,47,1290.0,-5.5,18,0,0,0
290,regular,400869530,2016,5,False,Temple,American Athletic,45,1534.0,SMU,American Athletic,20,1241.0,-13.5,-25,1,0,0
291,regular,400869818,2016,5,False,App State,Sun Belt,17,1509.0,Georgia State,Sun Belt,3,1303.0,-21.0,-14,1,0,0
292,regular,400869454,2016,5,False,Duke,ACC,20,1486.0,Virginia,ACC,34,1478.0,-5.0,14,0,0,0
293,regular,400869294,2016,5,False,Boston College,ACC,35,1368.0,Buffalo,Mid-American,3,1285.0,-20.0,-32,1,0,0
294,regular,400869127,2016,5,False,Colorado,Pac-12,47,1542.0,Oregon State,Pac-12,6,1282.0,-16.0,-41,1,0,0
295,regular,400869296,2016,5,False,Miami (OH),Mid-American,7,1211.0,Ohio,Mid-American,17,1398.0,3.5,10,0,0,0
296,regular,400869295,2016,5,False,Bowling Green,Mid-American,25,1184.0,Eastern Michigan,Mid-American,28,1108.0,-6.5,3,0,0,0
297,regular,400869013,2016,5,False,Georgia,SEC,31,1632.0,Tennessee,SEC,34,1792.0,2.5,3,0,25,11
298,regular,400869665,2016,5,False,Nebraska,Big Ten,31,1728.0,Illinois,Big Ten,16,1376.0,-21.5,-15,1,15,0
